trial,epoch,winRate,tieRate
30,14,0.34,0.0
30,16,0.36,0.0
30,18,0.48,0.0
30,20,0.54,0.0
30,22,0.58,0.0
30,24,0.0,0.86
30,26,0.92,0.06
30,28,0.52,0.0
30,30,0.88,0.08
30,32,0.92,0.04
30,34,0.9,0.08
30,36,0.84,0.14
30,38,0.92,0.08
30,40,0.82,0.14
30,42,0.96,0.02
30,44,0.88,0.1
30,46,0.92,0.04
30,48,0.92,0.06
31,0,0.32,0.0
31,2,0.42,0.0
31,4,0.98,0.02
31,6,0.0,0.82
31,8,0.0,0.88
31,10,0.5,0.0
31,12,0.66,0.0
31,14,0.9,0.08
31,16,0.36,0.0
31,18,0.0,0.8
31,20,0.0,0.96
31,22,0.98,0.02
31,24,0.38,0.0
31,26,0.96,0.04
31,28,0.92,0.08
31,30,0.96,0.04
31,32,0.86,0.12
31,34,0.88,0.1
31,36,0.9,0.04
31,38,0.82,0.16
31,40,0.94,0.06
31,42,0.94,0.06
31,44,0.92,0.06
31,46,0.82,0.14
31,48,0.9,0.08
32,0,0.0,0.9
32,2,0.46,0.0
32,4,0.9,0.08
32,6,0.0,0.92
32,8,0.54,0.0
32,10,0.0,0.84
32,12,0.0,0.88
32,14,0.0,0.9
32,16,0.36,0.0
32,18,0.44,0.0
32,20,0.36,0.0
32,22,0.56,0.0
32,24,0.6,0.0
32,26,0.58,0.0
32,28,0.44,0.0
32,30,0.42,0.0
32,32,0.52,0.0
32,34,0.6,0.0
32,36,0.44,0.0
32,38,0.52,0.0
32,40,0.46,0.0
32,42,0.38,0.0
32,44,0.48,0.0
32,46,0.52,0.0
32,48,0.6,0.0
33,0,0.0,0.88
33,2,0.92,0.08
33,4,0.58,0.0
33,6,0.32,0.0
33,8,0.36,0.0
33,10,0.94,0.04
33,12,0.88,0.08
33,14,0.26,0.0
33,16,0.92,0.06
33,18,0.88,0.12
33,20,0.0,0.8
33,22,0.92,0.08
33,24,0.98,0.02
33,26,0.96,0.04
33,28,0.84,0.14
33,30,0.94,0.02
33,32,0.98,0.0
33,34,0.84,0.08
33,36,0.92,0.08
33,38,0.88,0.08
33,40,0.88,0.06
33,42,0.92,0.08
33,44,0.88,0.12
33,46,0.9,0.1
33,48,0.9,0.06
34,0,0.36,0.0
34,2,0.6,0.0
34,4,0.48,0.0
34,6,0.92,0.06
34,8,0.0,0.84
34,10,0.82,0.12
34,12,0.84,0.12
34,14,0.86,0.1
34,16,0.9,0.1
34,18,0.9,0.1
34,20,0.88,0.1
34,22,0.88,0.1
34,24,0.9,0.04
34,26,0.94,0.04
34,28,0.9,0.06
34,30,0.92,0.08
34,32,0.9,0.06
34,34,0.92,0.04
34,36,0.9,0.08
34,38,0.84,0.1
34,40,0.94,0.06
34,42,0.9,0.1
34,44,0.92,0.06
34,46,0.94,0.04
34,48,0.92,0.06
35,0,0.0,0.92
35,2,0.24,0.0
35,4,0.64,0.0
35,6,0.5,0.0
35,8,0.54,0.0
35,10,0.0,0.88
35,12,0.0,0.82
35,14,0.92,0.06
35,16,0.0,0.86
35,18,0.44,0.0
35,20,0.42,0.0
35,22,0.0,0.94
35,24,0.0,0.94
35,26,1.0,0.0
35,28,0.86,0.08
35,30,0.84,0.14
35,32,0.88,0.08
35,34,0.9,0.1
35,36,0.88,0.06
35,38,0.86,0.06
35,40,0.88,0.12
35,42,0.94,0.06
35,44,0.92,0.04
35,46,0.86,0.14
35,48,0.94,0.04
36,0,0.3,0.0
36,2,0.92,0.06
36,4,0.0,0.86
36,6,0.84,0.1
36,8,0.38,0.0
36,10,0.0,0.88
36,12,0.0,0.86
36,14,0.36,0.0
36,16,0.5,0.0
36,18,0.0,0.9
36,20,0.9,0.1
36,22,0.88,0.1
36,24,0.88,0.12
36,26,0.8,0.14
36,28,0.94,0.06
36,30,0.92,0.08
36,32,0.9,0.08
36,34,0.88,0.12
36,36,0.86,0.1
36,38,0.96,0.04
36,40,0.86,0.14
36,42,0.88,0.1
36,44,0.94,0.06
36,46,0.8,0.12
36,48,0.9,0.1
37,0,0.36,0.0
37,2,0.92,0.06
37,4,0.86,0.1
37,6,0.0,0.86
37,8,0.0,0.96
37,10,0.82,0.18
37,12,0.88,0.1
37,14,0.0,0.84
37,16,0.92,0.06
37,18,0.0,0.92
37,20,0.86,0.12
37,22,0.94,0.06
37,24,0.94,0.06
37,26,0.92,0.04
37,28,0.9,0.08
37,30,0.9,0.08
37,32,0.84,0.12
37,34,0.94,0.06
37,36,0.94,0.06
37,38,0.78,0.16
37,40,0.92,0.08
37,42,0.9,0.08
37,44,0.9,0.04
37,46,0.88,0.1
37,48,0.94,0.06
38,0,0.0,0.88
38,2,0.3,0.0
38,4,0.38,0.0
38,6,0.94,0.06
38,8,0.68,0.0
38,10,0.52,0.0
38,12,0.88,0.1
38,14,0.94,0.06
38,16,0.9,0.08
38,18,0.92,0.04
38,20,0.92,0.08
38,22,0.66,0.0
38,24,0.52,0.0
38,26,0.46,0.0
38,28,0.92,0.06
38,30,0.9,0.04
38,32,0.82,0.12
38,34,0.96,0.02
38,36,0.94,0.04
38,38,0.86,0.1
38,40,0.94,0.02
38,42,0.94,0.02
38,44,0.84,0.1
38,46,0.92,0.08
38,48,0.9,0.08
39,0,0.44,0.0
39,2,0.0,0.9
39,4,0.56,0.0
39,6,0.0,0.9
39,8,0.26,0.0
39,10,0.92,0.06
39,12,0.34,0.0
39,14,0.48,0.0
39,16,0.56,0.0
39,18,0.42,0.0
39,20,0.48,0.0
39,22,0.58,0.0
39,24,0.0,0.84
39,26,0.96,0.02
39,28,0.82,0.18
39,30,0.88,0.08
39,32,0.0,0.96
39,34,0.92,0.06
39,36,0.9,0.1
39,38,0.96,0.02
39,40,0.9,0.08
39,42,0.84,0.12
39,44,0.92,0.06
39,46,0.9,0.1
39,48,0.98,0.0
40,0,0.0,0.82
40,2,1.0,0.0
40,4,0.0,0.88
40,6,0.38,0.0
40,8,0.0,0.9
40,10,0.44,0.0
40,12,0.92,0.08
40,14,0.96,0.04
40,16,0.86,0.12
40,18,0.84,0.16
40,20,0.92,0.04
40,22,0.6,0.0
40,24,0.88,0.08
40,26,0.92,0.04
40,28,0.92,0.08
40,30,0.94,0.04
40,32,0.84,0.14
40,34,0.88,0.1
40,36,0.88,0.1
40,38,0.86,0.1
40,40,0.86,0.14
40,42,0.9,0.08
40,44,0.92,0.06
40,46,0.88,0.1
40,48,0.8,0.14
41,0,0.0,0.88
41,2,0.62,0.0
41,4,0.86,0.1
41,6,0.0,0.88
41,8,0.0,0.86
41,10,0.5,0.0
41,12,0.0,0.92
41,14,0.92,0.08
41,16,0.44,0.0
41,18,0.58,0.0
41,20,0.84,0.14
41,22,0.56,0.0
41,24,0.52,0.0
41,26,0.62,0.0
41,28,0.56,0.0
41,30,0.38,0.0
41,32,0.36,0.0
41,34,0.48,0.0
41,36,0.58,0.0
41,38,0.56,0.0
41,40,0.64,0.0
41,42,0.44,0.0
41,44,0.56,0.0
41,46,0.54,0.0
41,48,0.34,0.0
42,0,0.26,0.0
42,2,0.0,0.86
42,4,0.36,0.0
42,6,0.84,0.08
42,8,0.24,0.0
42,10,0.0,0.82
42,12,0.22,0.0
42,14,0.46,0.0
42,16,0.6,0.0
42,18,0.56,0.0
42,20,0.54,0.0
42,22,0.0,0.9
42,24,0.84,0.16
42,26,0.88,0.12
42,28,0.86,0.14
42,30,0.52,0.0
42,32,0.88,0.08
42,34,0.88,0.1
42,36,0.94,0.06
42,38,0.88,0.1
42,40,0.88,0.1
42,42,0.94,0.06
42,44,0.94,0.06
42,46,0.9,0.08
42,48,0.86,0.12
43,0,0.48,0.0
43,2,0.92,0.06
43,4,0.44,0.0
43,6,0.94,0.06
43,8,0.94,0.06
43,10,0.0,0.84
43,12,0.24,0.0
43,14,0.9,0.08
43,16,0.84,0.14
43,18,0.74,0.16
43,20,0.86,0.1
43,22,0.9,0.08
43,24,0.98,0.0
43,26,1.0,0.0
43,28,0.9,0.08
43,30,0.9,0.1
43,32,0.96,0.0
43,34,0.86,0.08
43,36,0.86,0.12
43,38,0.86,0.1
43,40,0.96,0.02
43,42,0.94,0.04
43,44,0.88,0.12
43,46,0.9,0.08
43,48,0.96,0.02
44,0,0.92,0.06
44,2,0.0,0.94
44,4,0.0,0.96
44,6,0.38,0.0
44,8,0.92,0.06
44,10,0.88,0.12
44,12,0.3,0.0
44,14,0.36,0.0
44,16,0.34,0.0
44,18,0.32,0.0
44,20,0.38,0.0
44,22,0.86,0.12
44,24,0.42,0.0
44,26,0.44,0.0
44,28,0.92,0.06
44,30,0.84,0.1
44,32,0.0,0.84
44,34,0.96,0.04
44,36,0.84,0.14
44,38,0.94,0.06
44,40,0.84,0.1
44,42,0.88,0.12
44,44,0.32,0.0
44,46,0.94,0.04
44,48,0.9,0.1
45,0,0.92,0.08
45,2,0.34,0.0
45,4,0.0,0.92
45,6,0.0,0.88
45,8,0.58,0.0
45,10,0.32,0.0
45,12,0.9,0.1
45,14,0.9,0.1
45,16,0.0,0.88
45,18,0.84,0.16
45,20,0.88,0.12
45,22,0.94,0.06
45,24,0.9,0.1
45,26,0.82,0.16
45,28,0.88,0.06
45,30,0.82,0.14
45,32,0.58,0.0
45,34,0.46,0.0
45,36,0.54,0.0
45,38,0.88,0.08
45,40,0.52,0.0
45,42,0.44,0.0
45,44,0.48,0.0
45,46,0.42,0.0
45,48,0.62,0.0
46,0,0.92,0.08
46,2,0.0,0.92
46,4,0.92,0.08
46,6,0.92,0.06
46,8,0.9,0.08
46,10,0.56,0.0
46,12,0.48,0.0
46,14,0.5,0.0
46,16,0.88,0.08
46,18,0.9,0.06
46,20,0.84,0.14
